gene,ESR,chromosome,start,end,size,GC%,strand,ortholog code1,ortholog code2,ortholog species,expression on glucose,average log2FC,annotation
SAKL0A02068g,negative,1,187734,188927,1194,42.71,-1,YNR015W,SMM1,Sace,10.031664,-0.3918267,"similar to uniprot|P53720 Saccharomyces cerevisiae YNR015W SMM1 Dihydrouridine synthase, member of a family of dihydrouridine synthases including Dus1p, Smm1p, Dus3p, and Dus4p; modifies uridine residues at position 20 of cytoplasmic tRNAs"
SAKL0A02156g,negative,1,198529,200055,1527,41.13,-1,YNR012W,URK1,Sace,10.294704,-0.4403631,"similar to uniprot|P27515 Saccharomyces cerevisiae YNR012W URK1 Uridine/cytidine kinase, component of the pyrimidine ribonucleotide salvage pathway that converts uridine into UMP and cytidine into CMP; involved in the pyrimidine deoxyribonucleotide salvage pathway, converting deoxycytidine into dCMP"
SAKL0A02772g,negative,1,251715,252524,810,44.89,-1,YPL249C-A,RPL36B,Sace,14.79042,-0.417741,"highly similar to uniprot|O14455 Saccharomyces cerevisiae YPL249C-A (ohnolog of YMR194W) RPL36B Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl36Ap and has similarity to rat L36 ribosomal protein; binds to 5.8 S rRNA"
SAKL0A02992g,negative,1,276753,277448,696,39.94,1,YMR188C,MRPS17,Sace,10.991706,-0.3147198,similar to uniprot|Q03246 Saccharomyces cerevisiae YMR188C MRPS17 Mitochondrial ribosomal protein of the small subunit
SAKL0A03036g,negative,1,278871,280214,1344,38.99,1,YPL245W,YPL245W,Sace,10.038997,-0.6046579,similar to uniprot|Q12179 Saccharomyces cerevisiae YPL245W  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the cytoplasm
SAKL0A03300g,negative,1,303394,304248,855,38.71,1,YPL237W,SUI3,Sace,12.662419,-0.4520611,"highly similar to uniprot|P09064 Saccharomyces cerevisiae YPL237W SUI3 Beta subunit of the translation initiation factor eIF2, involved in the identification of the start codon; proposed to be involved in mRNA binding"
SAKL0A03586g,negative,1,328346,331885,3540,42.12,1,YPL226W,NEW1,Sace,12.638067,-0.4585843,highly similar to uniprot|Q7LHP2 Saccharomyces cerevisiae YPL226W NEW1 ATP binding cassette protein that cosediments with polysomes and is required for biogenesis of the small ribosomal subunit; Asn/Gln-rich rich region supports [NU+] prion formation and susceptibility to [PSI+] prion induction
SAKL0A03916g,negative,1,365969,366622,654,43.88,1,YGL135W,RPL1B,Sace,16.635218,-0.4498746,"highly similar to uniprot|P0CX44 Saccharomyces cerevisiae YGL135W (ohnolog of YPL220W) RPL1B N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Ap and has similarity to E. coli L1 and rat L10a ribosomal proteins; rpl1a rpl1b double null mutation is lethal"
SAKL0A03982g,negative,1,369575,373072,3498,40.65,-1,YPL217C,BMS1,Sace,11.977963,-0.5934634,"highly similar to uniprot|Q08965 Saccharomyces cerevisiae YPL217C BMS1 GTPase required for synthesis of 40S ribosomal subunits and for processing the 35S pre-rRNA at sites A0, A1, and A2; interacts with Rcl1p, which stimulates its GTPase and U3 snoRNA binding activities; has similarity to Tsr1p"
SAKL0A04158g,negative,1,389395,391040,1646,40.24,-1,YGL063W,PUS2,Sace,11.222038,-0.5353334,"highly similar to uniprot|P53167 Saccharomyces cerevisiae YGL063W (ohnolog of YPL212C) PUS2 Mitochondrial tRNA:pseudouridine synthase; acts at positions 27 and 28, but not at position 72; efficiently and rapidly targeted to mitochondria, specifically dedicated to mitochondrial tRNA modification"
SAKL0A04180g,negative,1,391467,392012,546,40.66,1,YPL211W,NIP7,Sace,11.917066,-0.7544303,"highly similar to uniprot|Q08962 Saccharomyces cerevisiae YPL211W NIP7 Nucleolar protein required for 60S ribosome subunit biogenesis, constituent of 66S pre- ribosomal particles; physically interacts with Nop8p and the exosome subunit Rrp43p"
SAKL0A04202g,negative,1,392142,394007,1866,38.42,-1,YPL210C,SRP72,Sace,11.703932,-0.2998664,similar to uniprot|P38688 Saccharomyces cerevisiae YPL210C SRP72 Core component of the signal recognition particle (SRP) ribonucleoprotein (RNP) complex that functions in targeting nascent secretory proteins to the endoplasmic reticulum (ER) membrane
SAKL0A04752g,negative,1,434100,435749,1650,39.33,1,YGL078C,DBP3,Sace,11.866971,-0.7559648,highly similar to uniprot|P20447 Saccharomyces cerevisiae YGL078C DBP3 Putative ATP-dependent RNA helicase of the DEAD-box family involved in ribosomal biogenesis
SAKL0A05412g,negative,1,489032,492025,2994,39.68,-1,YPL183C,RTT10,Sace,11.084758,-0.5499461,similar to uniprot|Q08924 Saccharomyces cerevisiae YPL183C RTT10 Cytoplasmic protein with a role in regulation of Ty1 transposition
SAKL0A05764g,negative,1,525463,526914,1452,42.36,-1,YGL097W,SRM1,Sace,11.810934,-0.4035935,"highly similar to uniprot|P21827 Saccharomyces cerevisiae YGL097W SRM1 Nucleotide exchange factor for Gsp1p, localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p"
SAKL0A05808g,negative,1,528556,529959,1404,41.74,1,YBR247C,ENP1,Sace,11.405344,-0.6748541,"highly similar to uniprot|P38333 Saccharomyces cerevisiae YBR247C ENP1 Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus"
SAKL0A05874g,negative,1,535011,536939,1929,41.21,-1,YGL099W,LSG1,Sace,11.7596,-0.6341907,highly similar to uniprot|P53145 Saccharomyces cerevisiae YGL099W LSG1 Putative GTPase involved in 60S ribosomal subunit biogenesis; required for the release of Nmd3p from 60S subunits in the cytoplasm
SAKL0A06028g,negative,1,547425,548395,971,46.89,-1,YGL103W,RPL28,Sace,15.589343,-0.4044057,"highly similar to uniprot|P02406 Saccharomyces cerevisiae YGL103W RPL28 Ribosomal protein of the large (60S) ribosomal subunit, has similarity to E. coli L15 and rat L27a ribosomal proteins; may have peptidyl transferase activity; can mutate to cycloheximide resistance"
SAKL0A06094g,negative,1,552634,553749,1116,44.35,-1,YGL105W,ARC1,Sace,12.813779,-0.4021829,"highly similar to uniprot|P46672 Saccharomyces cerevisiae YGL105W ARC1 Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases (Mes1p and Gus1p), delivering tRNA to them, stimulating catalysis, and ensuring their localization to the cytoplasm; also binds quadruplex nucleic acids"
SAKL0A06116g,negative,1,554152,555684,1533,44.36,1,YBR239C,ERT1,Sace,9.24769,-0.4707573,"similar to uniprot|P38140 Saccharomyces cerevisiae YBR239C ERT1 Transcriptional regulator of nonfermentable carbon utilization; GFP-fusion protein localizes to cytoplasm, nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition"
SAKL0A06292g,negative,1,569971,571320,1350,39.93,-1,YGL111W,NSA1,Sace,11.093155,-0.5848404,"similar to uniprot|P53136 Saccharomyces cerevisiae YGL111W NSA1 Constituent of 66S pre-ribosomal particles, involved in 60S ribosomal subunit biogenesis"
SAKL0A06710g,negative,1,594974,597286,2313,42.46,1,YGL120C,PRP43,Sace,11.983878,-0.5927083,"highly similar to uniprot|P53131 Saccharomyces cerevisiae YGL120C PRP43 RNA helicase in the DEAH-box family, functions in both RNA polymerase I and polymerase II transcript metabolism, involved in release of the lariat-intron from the spliceosome"
SAKL0A06754g,negative,1,598925,600394,1470,45.44,1,YGL122C,NAB2,Sace,11.350559,-0.2238991,similar to uniprot|P32505 Saccharomyces cerevisiae YGL122C NAB2 Nuclear polyadenylated RNA-binding protein required for nuclear mRNA export and poly(A) tail length control; binds nuclear pore protein Mlp1p; autoregulates mRNA levels; related to human hnRNPs; nuclear localization sequence binds Kap104p
SAKL0A06776g,negative,1,600940,601722,783,47.13,-1,YGL123W,RPS2,Sace,16.534462,-0.3597508,"highly similar to uniprot|P25443 Saccharomyces cerevisiae YGL123W RPS2 Protein component of the small (40S) subunit, essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p"
SAKL0A07788g,negative,1,690785,691957,1173,39.22,1,YLR291C,GCD7,Sace,11.136627,-0.310472,"similar to uniprot|P32502 Saccharomyces cerevisiae YLR291C GCD7 Beta subunit of the translation initiation factor eIF2B, the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression"
SAKL0A07898g,negative,1,699072,699736,665,42.71,1,YOR182C,RPS30B,Sace,14.655195,-0.4179755,highly similar to uniprot|P0CX34 Saccharomyces cerevisiae YOR182C (ohnolog of YLR287C-A) RPS30B Protein component of the small (40S) ribosomal subunit; nearly identical to Rps30Ap and has similarity to rat S30 ribosomal protein
SAKL0A07920g,negative,1,700299,701423,1125,36.36,1,YLR287C,YLR287C,Sace,10.250927,-0.3940383,similar to uniprot|Q05881 Saccharomyces cerevisiae YLR287C  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR287C is not an essential gene
SAKL0A07986g,negative,1,707624,708436,813,43.91,-1,YLR285W,NNT1,Sace,11.942048,-0.4107765,"similar to uniprot|Q05874 Saccharomyces cerevisiae YLR285W NNT1 Putative nicotinamide N-methyltransferase, has a role in rDNA silencing and in lifespan determination"
SAKL0A08118g,negative,1,718720,720564,1845,39.73,1,YLR276C,DBP9,Sace,11.773966,-0.51515,highly similar to uniprot|Q06218 Saccharomyces cerevisiae YLR276C DBP9 ATP-dependent RNA helicase of the DEAD-box family involved in biogenesis of the 60S ribosomal subunit
SAKL0A08734g,negative,1,769401,770214,814,47.24,1,YHL001W,RPL14B,Sace,15.669989,-0.4035188,"highly similar to uniprot|P38754 Saccharomyces cerevisiae YHL001W (ohnolog of YKL006W) RPL14B Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Ap and has similarity to rat L14 ribosomal protein"
SAKL0A09328g,negative,1,810821,812155,1335,43.75,-1,YHR003C,YHR003C,Sace,11.337255,-0.6171991,"similar to uniprot|P38756 Saccharomyces cerevisiae YHR003C (ohnolog of YKL027W)  Protein of unknown function, localized to the mitochondrial outer membrane"
SAKL0A09768g,negative,1,860675,861637,963,45.69,1,YHL011C,PRS3,Sace,12.119592,-0.298647,"highly similar to uniprot|P38689 Saccharomyces cerevisiae YHL011C PRS3 5-phospho-ribosyl-1(alpha)- pyrophosphate synthetase, synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes"
SAKL0A09900g,negative,1,872323,873282,960,42.08,1,YHL013C,OTU2,Sace,10.219193,-0.3273717,"similar to uniprot|P38747 Saccharomyces cerevisiae YHL013C OTU2 Protein of unknown function that may interact with ribosomes, based on co-purification experiments; member of the ovarian tumor-like (OTU) superfamily of predicted cysteine proteases; shows cytoplasmic localization"
SAKL0B00660g,negative,2,62679,63446,768,42.84,-1,YFL045C,SEC53,Sace,13.937871,-0.2398202,"highly similar to uniprot|P07283 Saccharomyces cerevisiae YFL045C SEC53 Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen"
SAKL0B00682g,negative,2,63911,64573,663,44.95,-1,YLR075W,RPL10,Sace,15.962061,-0.3271443,"highly similar to uniprot|P41805 Saccharomyces cerevisiae YLR075W RPL10 Protein component of the large (60S) ribosomal subunit, responsible for joining the 40S and 60S subunits; regulates translation initiation; has similarity to rat L10 ribosomal protein and to members of the QM gene family"
SAKL0B00704g,negative,2,65060,65569,510,41.37,1,YLR074C,BUD20,Sace,10.22348,-0.7265277,similar to uniprot|Q08004 Saccharomyces cerevisiae YLR074C BUD20 Protein involved in bud-site selection; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern
SAKL0B00748g,negative,2,66886,67479,594,37.88,1,YLR073C,RFU1,Sace,7.991503,-0.6467858,similar to uniprot|Q08003 Saccharomyces cerevisiae YLR073C RFU1 Protein that inhibits Doa4p deubiquitinating activity; contributes to ubiquitin homeostasis by regulating the conversion of free ubiquitin chains to ubiquitin monomers by Doa4p; GFP-fusion protein localizes to endosomes
SAKL0B01122g,negative,2,102399,103412,1014,39.05,-1,YLR063W,YLR063W,Sace,9.450551,-0.4799021,similar to uniprot|Q12291 Saccharomyces cerevisiae YLR063W  Putative S-adenosylmethionine-dependent methyltransferase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLR063W is not an essential gene
SAKL0B01144g,negative,2,103941,104515,575,44.16,-1,YFL034C-A,RPL22B,Sace,15.010849,-0.5110914,"highly similar to uniprot|P56628 Saccharomyces cerevisiae YFL034C-A (ohnolog of YLR061W) RPL22B Protein component of the large (60S) ribosomal subunit, has similarity to Rpl22Ap and to rat L22 ribosomal protein"
SAKL0B01188g,negative,2,107923,109710,1788,40.6,-1,YLR060W,FRS1,Sace,13.634644,-0.4476294,"highly similar to uniprot|P15624 Saccharomyces cerevisiae YLR060W FRS1 Beta subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs2p to generate active enzyme; able to hydrolyze mis- aminoacylated tRNA-Phe, which could contribute to translational quality control"
SAKL0B01232g,negative,2,115978,116946,969,44.17,1,YLR059C,REX2,Sace,10.058438,-0.4039027,"similar to uniprot|P54964 Saccharomyces cerevisiae YLR059C REX2 3'-5' RNA exonuclease; involved in 3'-end processing of U4 and U5 snRNAs, 5S and 5.8S rRNAs, and RNase P and RNase MRP RNA; localized to mitochondria and null suppresses escape of mtDNA to nucleus in yme1 yme2 mutants; RNase D exonuclease"
SAKL0B01650g,negative,2,162384,165239,2856,40.44,1,YFL023W,BUD27,Sace,9.995933,-0.3744576,weakly similar to uniprot|P43573 Saccharomyces cerevisiae YFL023W BUD27 Unconventional prefoldin protein involved in translation initiation; mutants have inappropriate expression of nutrient sensitive genes due to translational derepression of Gcn4p transcription factor; diploid mutants show random budding
SAKL0B01738g,negative,2,172492,173991,1500,42.73,-1,YFL022C,FRS2,Sace,13.106515,-0.3601152,"highly similar to uniprot|P15625 Saccharomyces cerevisiae YFL022C FRS2 Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs1p to form active enzyme; evolutionarily distant from mitochondrial phenylalanyl-tRNA synthetase based on protein sequence, but substrate binding is similar"
SAKL0B01804g,negative,2,177010,177699,690,41.16,1,YLR051C,FCF2,Sace,10.075037,-0.4867887,similar to uniprot|Q12035 Saccharomyces cerevisiae YLR051C FCF2 Essential nucleolar protein involved in the early steps of 35S rRNA processing; interacts with Faf1p; member of a transcriptionally co-regulated set of genes called the RRB regulon
SAKL0B02288g,negative,2,215751,219437,3687,39.14,1,YFL008W,SMC1,Sace,9.628838,-0.2141366,"similar to uniprot|P32908 Saccharomyces cerevisiae YFL008W SMC1 Subunit of the multiprotein cohesin complex, essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
SAKL0B02574g,negative,2,245679,249344,3666,40.23,-1,YPL012W,RRP12,Sace,12.400871,-0.6540172,highly similar to uniprot|Q7LH12 Saccharomyces cerevisiae YPL012W RRP12 Protein required for export of the ribosomal subunits; associates with the RNA components of the pre-ribosomes; has a role in nuclear import in association with Pse1p; contains HEAT-repeats
SAKL0B02794g,negative,2,266646,268442,1797,38.34,-1,YFL002C,SPB4,Sace,10.601593,-0.4071275,"highly similar to uniprot|P25808 Saccharomyces cerevisiae YFL002C SPB4 Putative ATP-dependent RNA helicase, nucleolar protein required for synthesis of 60S ribosomal subunits at a late step in the pathway; sediments with 66S pre-ribosomes in sucrose gradients"
SAKL0B02904g,negative,2,272784,273404,621,39.13,1,YFR001W,LOC1,Sace,10.349644,-0.510616,highly similar to uniprot|P43586 Saccharomyces cerevisiae YFR001W LOC1 Nuclear protein involved in asymmetric localization of ASH1 mRNA; binds double- stranded RNA in vitro; constituent of 66S pre-ribosomal particles
SAKL0B02970g,negative,2,278151,280700,2550,36.82,1,YFR002W,NIC96,Sace,11.157925,-0.2611667,"similar to uniprot|P34077 Saccharomyces cerevisiae YFR002W NIC96 Component of the nuclear pore complex, required for nuclear pore formation; forms a subcomplex with Nsp1p, Nup57p, and Nup49p"
SAKL0B03542g,negative,2,322740,326333,3594,48.16,-1,YPR010C,RPA135,Sace,13.346429,-0.467469,highly similar to uniprot|P22138 Saccharomyces cerevisiae YPR010C RPA135 RNA polymerase I second largest subunit A135
SAKL0B03806g,negative,2,338313,338639,327,45.87,-1,YGR027C,RPS25A,Sace,14.987886,-0.285926,highly similar to uniprot|Q3E792 Saccharomyces cerevisiae YGR027C (ohnolog of YLR333C) RPS25A Protein component of the small (40S) ribosomal subunit; nearly identical to Rps25Bp and has similarity to rat S25 ribosomal protein
SAKL0B03872g,negative,2,342547,345729,3183,39.18,-1,YLR336C,SGD1,Sace,10.98447,-0.3984504,"similar to uniprot|Q06132 Saccharomyces cerevisiae YLR336C SGD1 Essential nuclear protein, required for biogenesis of the small ribosomal subunit; has a possible role in the osmoregulatory glycerol response; putative homolog of human NOM1 which is implicated in acute myeloid leukemia"
SAKL0B04092g,negative,2,364521,365459,939,45.9,1,YLR340W,RPP0,Sace,16.711223,-0.4507624,"highly similar to uniprot|P05317 Saccharomyces cerevisiae YLR340W RPP0 Conserved ribosomal protein P0 of the ribosomal stalk, which is involved in interaction between translational elongation factors and the ribosome; similar to rat P0, human P0, and E. coli L10e; phosphorylated on serine 302"
SAKL0B04246g,negative,2,380567,381399,833,44.79,1,YGR034W,RPL26B,Sace,15.678214,-0.4578021,"highly similar to uniprot|P53221 Saccharomyces cerevisiae YGR034W (ohnolog of YLR344W) RPL26B Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl26Ap and has similarity to E. coli L24 and rat L26 ribosomal proteins; binds to 5.8S rRNA"
SAKL0B05148g,negative,2,445171,445797,627,42.11,1,YOR294W,RRS1,Sace,11.293646,-0.5768471,"highly similar to uniprot|Q08746 Saccharomyces cerevisiae YOR294W RRS1 Essential protein that binds ribosomal protein L11; required for nuclear export of the 60S pre-ribosomal subunit during ribosome biogenesis; localizes to the nucleolus and in foci along nuclear periphery; cooperates with Ebp2p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering; mouse homolog shows altered expression in Huntington's disease model mice"
SAKL0B05566g,negative,2,482434,483951,1518,40.38,-1,YMR239C,RNT1,Sace,9.251306,-0.3260357,similar to uniprot|Q02555 Saccharomyces cerevisiae YMR239C RNT1 RNAase III; involved in rDNA transcription and rRNA processing; also cleaves a stem-loop structure at the 3' end of U2 snRNA to ensure formation of the correct U2 3' end; involved in polyadenylation-independent transcription termination
SAKL0B05874g,negative,2,499333,500874,1542,42.02,-1,YOR310C,NOP58,Sace,13.894947,-0.5266319,"highly similar to uniprot|Q12499 Saccharomyces cerevisiae YOR310C NOP58 Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA"
SAKL0B05918g,negative,2,502376,503366,991,43.94,-1,YOR312C,RPL20B,Sace,15.704642,-0.3779153,"highly similar to uniprot|P0CX24 Saccharomyces cerevisiae YOR312C (ohnolog of YMR242C) RPL20B Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl20Ap and has similarity to rat L18a ribosomal protein"
SAKL0B06226g,negative,2,524856,529529,4674,36.29,1,YMR247C,RKR1,Sace,11.05253,-0.2262665,"similar to uniprot|Q04781 Saccharomyces cerevisiae YMR247C RKR1 RING domain E3 ubiquitin ligase; involved in the ubiquitin-mediated degradation of non-stop proteins; functional connections to chromatin modification; nuclear protein that also co-localizes with ribosomes; homolog of mouse Listerin, whose mutation has been reported to cause neurodegeneration in mice"
SAKL0B06380g,negative,2,545027,548035,3009,43.47,-1,YBR079C,RPG1,Sace,12.914248,-0.480554,"similar to uniprot|P38249 Saccharomyces cerevisiae YBR079C RPG1 eIF3a subunit of the core complex of translation initiation factor 3 (eIF3), essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation"
SAKL0B06556g,negative,2,563151,566324,3174,41.4,1,YDR060W,MAK21,Sace,11.910515,-0.5718679,"similar to uniprot|Q12176 Saccharomyces cerevisiae YDR060W MAK21 Constituent of 66S pre-ribosomal particles, required for large (60S) ribosomal subunit biogenesis; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein"
SAKL0B06600g,negative,2,569407,572361,2955,42.94,1,YBR084W,MIS1,Sace,12.606873,-0.3595122,"highly similar to uniprot|P09440 Saccharomyces cerevisiae YBR084W MIS1 Mitochondrial C1-tetrahydrofolate synthase, involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase"
SAKL0B06644g,negative,2,573177,574135,959,44.73,-1,YBR084C-A,RPL19A,Sace,15.99857,-0.3518874,"highly similar to uniprot|P0CX82 Saccharomyces cerevisiae YBR084C-A (ohnolog of YBL027W) RPL19A Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl19Bp and has similarity to rat L19 ribosomal protein; rpl19a and rpl19b single null mutations result in slow growth, while the double null mutation is lethal"
SAKL0B06666g,negative,2,574801,575142,342,41.81,1,YBL028C,YBL028C,Sace,10.958846,-0.5916596,similar to uniprot|P38202 Saccharomyces cerevisiae YBL028C  Protein of unknown function that may interact with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; predicted to be involved in ribosome biogenesis
SAKL0B06886g,negative,2,595869,597872,2004,39.12,1,YBL035C,POL12,Sace,10.063218,-0.2471353,"similar to uniprot|P38121 Saccharomyces cerevisiae YBL035C POL12 B subunit of DNA polymerase alpha-primase complex, required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation"
SAKL0B06974g,negative,2,605245,606315,1071,42.2,1,YBR087W,RFC5,Sace,10.776356,-0.2799261,"highly similar to uniprot|P38251 Saccharomyces cerevisiae YBR087W RFC5 Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon"
SAKL0B07128g,negative,2,615912,616758,847,42.34,-1,YBR088C,POL30,Sace,12.069111,-0.2387354,"highly similar to uniprot|P15873 Saccharomyces cerevisiae YBR088C POL30 Proliferating cell nuclear antigen (PCNA), functions as the sliding clamp for DNA polymerase delta; may function as a docking site for other proteins required for mitotic and meiotic chromosomal DNA replication and for DNA repair"
SAKL0B07546g,negative,2,648427,649200,774,40.31,-1,YPR060C,ARO7,Sace,11.020577,-0.2046503,"highly similar to uniprot|P32178 Saccharomyces cerevisiae YPR060C ARO7 Chorismate mutase, catalyzes the conversion of chorismate to prephenate to initiate the tyrosine/phenylalanine-specific branch of aromatic amino acid biosynthesis"
SAKL0B08294g,negative,2,707758,709134,1377,45.1,1,YBR118W,TEF2,Sace,19.055792,-0.3071692,highly similar to uniprot|P02994 Saccharomyces cerevisiae YBR118W (ohnolog of YPR080W) TEF2 Translational elongation factor EF-1 alpha; also encoded by TEF1; functions in the binding reaction of aminoacyl-tRNA (AA- tRNA) to ribosomes; may also have a role in tRNA re-export from the nucleus
SAKL0B08360g,negative,2,711384,713369,1986,42.8,-1,YBR121C,GRS1,Sace,13.565489,-0.294792,highly similar to uniprot|P38088 Saccharomyces cerevisiae YBR121C (ohnolog of YPR081C) GRS1 Cytoplasmic and mitochondrial glycyl-tRNA synthase that ligates glycine to the cognate anticodon bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation
SAKL0B08404g,negative,2,714582,715100,519,45.09,-1,YBR122C,MRPL36,Sace,10.968283,-0.2466665,highly similar to uniprot|P36531 Saccharomyces cerevisiae YBR122C MRPL36 Mitochondrial ribosomal protein of the large subunit; overproduction suppresses mutations in the COX2 leader peptide-encoding region
